Thread 1: 23:33:56.922, Counter: 1
Thread 2: 23:33:57.172, Counter: 1
Thread 1: 23:33:57.235, Counter: 2
Thread 1: 23:33:57.487, Counter: 3
Thread 3: 23:33:57.674, Counter: 3
Thread 2: 23:33:57.675, Counter: 3
Thread 1: 23:33:57.752, Counter: 4
Thread 1: 23:33:58.017, Counter: 5
Thread 2: 23:33:58.188, Counter: 5
Thread 1: 23:33:58.281, Counter: 6
Thread 1: 23:33:58.534, Counter: 7
Thread 3: 23:33:58.687, Counter: 7
Thread 2: 23:33:58.702, Counter: 7
Thread 1: 23:33:58.795, Counter: 8
Thread 1: 23:33:59.060, Counter: 9
Thread 2: 23:33:59.216, Counter: 9
Thread 1: 23:33:59.327, Counter: 10
Thread 1: 23:33:59.589, Counter: 11
Thread 3: 23:33:59.698, Counter: 11
Thread 2: 23:33:59.730, Counter: 11
Thread 1: 23:33:59.854, Counter: 12
Thread 1: 23:34:00.120, Counter: 13
Thread 2: 23:34:00.244, Counter: 13
Thread 1: 23:34:00.385, Counter: 14
Thread 1: 23:34:00.637, Counter: 15
Thread 3: 23:34:00.713, Counter: 15
Thread 2: 23:34:00.747, Counter: 15
Thread 1: 23:34:00.902, Counter: 16
Thread 1: 23:34:01.154, Counter: 17
Thread 2: 23:34:01.249, Counter: 17
Thread 1: 23:34:01.417, Counter: 18
Thread 1: 23:34:01.681, Counter: 19
Thread 3: 23:34:01.727, Counter: 19
Thread 2: 23:34:01.758, Counter: 19
Thread 1: 23:34:01.946, Counter: 20
Thread 1: 23:34:02.213, Counter: 21
Thread 2: 23:34:02.261, Counter: 21
Thread 1: 23:34:02.479, Counter: 22
Thread 3: 23:34:02.742, Counter: 22
Thread 1: 23:34:02.742, Counter: 23
Thread 2: 23:34:02.774, Counter: 23
Thread 1: 23:34:03.006, Counter: 24
Thread 1: 23:34:03.269, Counter: 25
Thread 2: 23:34:03.285, Counter: 25
Thread 1: 23:34:03.536, Counter: 26
Thread 3: 23:34:03.748, Counter: 26
Thread 2: 23:34:03.795, Counter: 26
Thread 1: 23:34:03.796, Counter: 27
Thread 1: 23:34:04.058, Counter: 28
Thread 2: 23:34:04.307, Counter: 28
Thread 1: 23:34:04.323, Counter: 29
Thread 1: 23:34:04.588, Counter: 30
Thread 3: 23:34:04.761, Counter: 30
Thread 2: 23:34:04.822, Counter: 30
Thread 1: 23:34:04.853, Counter: 31
Thread 1: 23:34:05.118, Counter: 32
Thread 2: 23:34:05.337, Counter: 32
Thread 1: 23:34:05.381, Counter: 33
Thread 1: 23:34:05.647, Counter: 34
Thread 3: 23:34:05.771, Counter: 34
Thread 2: 23:34:05.851, Counter: 34
Thread 1: 23:34:05.898, Counter: 35
Thread 1: 23:34:06.163, Counter: 36
Thread 2: 23:34:06.352, Counter: 36
Thread 1: 23:34:06.428, Counter: 37
Thread 1: 23:34:06.692, Counter: 38
Thread 3: 23:34:06.785, Counter: 38
Thread 2: 23:34:06.863, Counter: 38
Thread 1: 23:34:06.958, Counter: 39
Thread 1: 23:34:07.222, Counter: 40
Thread 2: 23:34:07.376, Counter: 40
Thread 1: 23:34:07.485, Counter: 41
Thread 1: 23:34:07.748, Counter: 42
Thread 3: 23:34:07.795, Counter: 42
Thread 2: 23:34:07.889, Counter: 42
Thread 1: 23:34:08.013, Counter: 43
Thread 1: 23:34:08.277, Counter: 44
Thread 2: 23:34:08.400, Counter: 44
Thread 1: 23:34:08.540, Counter: 45
Thread 3: 23:34:08.802, Counter: 45
Thread 1: 23:34:08.803, Counter: 46
Thread 2: 23:34:08.910, Counter: 46
Thread 1: 23:34:09.064, Counter: 47
Thread 1: 23:34:09.327, Counter: 48
Thread 2: 23:34:09.421, Counter: 48
Thread 1: 23:34:09.578, Counter: 49
Thread 3: 23:34:09.812, Counter: 49
Thread 1: 23:34:09.843, Counter: 50
Thread 2: 23:34:09.936, Counter: 50
Thread 1: 23:34:10.108, Counter: 51
Thread 1: 23:34:10.370, Counter: 52
Thread 2: 23:34:10.446, Counter: 52
Thread 1: 23:34:10.629, Counter: 53
Thread 3: 23:34:10.826, Counter: 53
Thread 1: 23:34:10.889, Counter: 54
Thread 2: 23:34:10.951, Counter: 54
Thread 1: 23:34:11.152, Counter: 55
Thread 1: 23:34:11.415, Counter: 56
Thread 2: 23:34:11.462, Counter: 56
Thread 1: 23:34:11.676, Counter: 57
Thread 3: 23:34:11.830, Counter: 57
Thread 1: 23:34:11.938, Counter: 58
Thread 2: 23:34:11.969, Counter: 58
Thread 1: 23:34:12.190, Counter: 59
Thread 1: 23:34:12.455, Counter: 60
Thread 2: 23:34:12.471, Counter: 60
Thread 1: 23:34:12.719, Counter: 61
